date,time,hdop,sat,svids,lat,lon,ele,sog,cog,roc,ehpe,evpe,sogu,cogu,ehve,evve
2019-10-09,09:27:45.000,0.8,10,2350917253,50.5812361,-2.4694091,1.47,2.39,358.32,-0.03,1.08,1.95,2.39,358.32,0.14,0.20
2019-10-09,09:27:46.000,0.8,10,2350917253,50.5812631,-2.4694121,1.94,2.73,349.81,0.03,1.05,1.89,2.73,349.81,0.36,0.21
2019-10-09,09:27:47.000,0.8,10,2350917253,50.5812900,-2.4694270,1.58,3.67,342.29,0.00,1.04,1.83,3.67,342.29,0.30,0.21
2019-10-09,09:27:48.000,0.8,9,2348820101,50.5813228,-2.4694475,1.82,4.11,340.51,0.04,1.03,1.78,4.11,340.51,0.23,0.20
2019-10-09,09:27:49.000,0.8,10,2350917253,50.5813553,-2.4694735,1.61,3.85,331.49,-0.01,1.01,1.74,3.85,331.49,0.24,0.20
2019-10-09,09:27:50.000,0.8,10,2350917253,50.5813795,-2.4695094,1.61,3.50,299.22,-0.04,1.00,1.69,3.50,299.22,0.26,0.19
2019-10-09,09:27:51.000,0.8,10,2350917253,50.5813857,-2.4695558,1.57,3.28,261.18,-0.03,1.00,1.70,3.28,261.18,0.31,0.21
2019-10-09,09:27:52.000,0.8,10,2350917253,50.5813725,-2.4695943,1.48,2.89,224.92,0.03,0.98,1.66,2.89,224.92,0.22,0.19
2019-10-09,09:27:53.000,0.8,10,2350917253,50.5813501,-2.4696132,1.34,2.75,191.37,0.01,0.96,1.63,2.75,191.37,0.17,0.17
2019-10-09,09:27:54.000,0.8,10,2350917253,50.5813238,-2.4696131,1.31,2.99,168.59,0.03,0.95,1.61,2.99,168.59,0.20,0.17
2019-10-09,09:27:55.000,0.8,10,2350917253,50.5812970,-2.4696037,1.70,3.16,161.86,0.08,0.94,1.59,3.16,161.86,0.21,0.16
2019-10-09,09:27:56.000,0.8,10,2350917253,50.5812698,-2.4695924,1.85,3.07,163.53,0.07,0.93,1.57,3.07,163.53,0.22,0.16
2019-10-09,09:27:57.000,0.8,10,2350917253,50.5812431,-2.4695887,2.01,2.89,182.46,0.09,0.93,1.56,2.89,182.46,0.21,0.15
2019-10-09,09:27:58.000,0.8,10,2350917253,50.5812176,-2.4696020,2.27,3.06,210.52,0.13,0.91,1.53,3.06,210.52,0.19,0.15
2019-10-09,09:27:59.000,0.8,10,2350917253,50.5812000,-2.4696328,2.32,2.90,244.13,0.08,0.91,1.52,2.90,244.13,0.21,0.15
2019-10-09,10:22:36.000,1.0,9,2283873413,50.5813686,-2.4683585,-0.75,2.40,357.77,0.02,0.62,0.85,2.40,357.77,0.15,0.11
2019-10-09,10:22:37.000,1.0,9,2283873413,50.5813927,-2.4683553,-0.76,2.87,9.48,0.03,0.63,0.85,2.87,9.48,0.18,0.13
2019-10-09,10:22:38.000,1.0,9,2283873413,50.5814166,-2.4683466,-0.74,2.50,17.37,0.05,0.63,0.85,2.50,17.37,0.16,0.13
2019-10-09,10:22:40.000,1.0,9,2283873413,50.5814585,-2.4683267,-0.80,2.58,15.46,0.03,0.63,0.85,2.58,15.46,0.16,0.13
2019-10-09,10:22:41.000,1.0,9,2283873413,50.5814816,-2.4683189,-0.91,2.55,10.73,-0.02,0.63,0.85,2.55,10.73,0.16,0.12
2019-10-09,10:22:42.000,1.0,9,2283873413,50.5815056,-2.4683109,-1.11,2.75,13.57,-0.08,0.63,0.85,2.76,13.57,0.17,0.13
2019-10-09,10:22:43.000,1.0,9,2283873413,50.5815302,-2.4682998,-1.06,2.86,19.27,0.03,0.64,0.85,2.86,19.27,0.17,0.13
2019-10-09,10:22:45.000,1.0,9,2283873413,50.5815745,-2.4682828,-1.14,2.44,12.04,0.01,0.64,0.85,2.44,12.04,0.15,0.12
