date,time,hdop,sat,svids,lat,lon,ele,sog,cog,roc,ehpe,evpe,sogu,cogu,ehve,evve
2012-10-09,13:00:22.000,1.0,9,540442724,50.5719117,-2.4569533,5.41,2.48,333.95,0.05,0.57,0.92,2.48,333.95,0.11,0.12
2012-10-09,13:00:31.000,1.0,9,540442724,50.5720657,-2.4570716,5.43,2.49,335.73,0.02,0.56,0.92,2.49,335.73,0.11,0.12
2012-10-09,13:00:32.000,1.0,9,540442724,50.5720876,-2.4570878,5.42,2.81,334.57,0.02,0.56,0.92,2.81,334.57,0.11,0.12
2012-10-09,13:00:33.000,1.0,9,540442724,50.5721091,-2.4571038,5.43,2.41,335.85,0.03,0.55,0.92,2.41,335.85,0.11,0.12
2012-10-09,13:00:35.000,1.0,9,540442724,50.5721484,-2.4571317,5.43,2.39,334.43,0.04,0.55,0.92,2.39,334.43,0.11,0.12
2012-10-09,13:00:36.000,1.0,9,540442724,50.5721681,-2.4571464,5.45,2.40,335.20,0.04,0.55,0.92,2.40,335.20,0.11,0.12
2012-10-09,13:00:37.000,1.0,9,540442724,50.5721881,-2.4571608,5.44,2.43,336.40,0.03,0.55,0.92,2.43,336.40,0.11,0.13
2012-10-09,13:00:38.000,1.0,9,540442724,50.5722080,-2.4571747,5.47,2.36,336.46,0.05,0.55,0.92,2.36,336.46,0.11,0.13
2012-10-09,13:00:41.000,1.0,9,540442724,50.5722631,-2.4572159,5.49,2.51,334.07,0.05,0.55,0.92,2.51,334.07,0.11,0.12
2012-10-09,13:00:42.000,1.0,9,540442724,50.5722835,-2.4572312,5.45,2.46,335.72,0.02,0.55,0.93,2.46,335.72,0.11,0.12
2012-10-09,13:00:43.000,1.0,9,540442724,50.5723043,-2.4572468,5.41,2.60,333.88,0.00,0.55,0.93,2.60,333.88,0.11,0.12
2012-10-09,13:00:44.000,1.0,9,540442724,50.5723256,-2.4572633,5.40,2.61,334.22,0.01,0.54,0.93,2.61,334.22,0.11,0.12
2012-10-09,13:00:45.000,1.0,9,540442724,50.5723468,-2.4572797,5.50,2.60,333.57,0.08,0.54,0.93,2.60,333.57,0.11,0.12
2012-10-09,13:00:52.000,1.0,9,540442724,50.5724705,-2.4573774,5.56,2.53,333.30,0.04,0.54,0.93,2.53,333.30,0.11,0.13
2012-10-09,13:00:53.000,1.0,9,540442724,50.5724915,-2.4573939,5.61,2.66,333.83,0.03,0.54,0.93,2.66,333.83,0.11,0.13
2012-10-09,13:00:54.000,1.0,9,540442724,50.5725132,-2.4574107,5.65,2.68,334.09,0.04,0.54,0.93,2.68,334.09,0.11,0.13
2012-10-09,13:00:55.000,1.0,9,540442724,50.5725342,-2.4574271,5.64,2.49,333.53,0.02,0.54,0.93,2.49,333.53,0.11,0.12
2012-10-09,13:00:57.000,1.0,9,540442724,50.5725728,-2.4574563,5.66,2.39,332.57,0.03,0.54,0.93,2.39,332.57,0.10,0.12
2012-10-09,13:01:00.000,1.0,9,540442724,50.5726294,-2.4575015,5.51,2.36,334.62,-0.04,0.54,0.92,2.36,334.62,0.10,0.11
2012-10-09,13:01:01.000,1.0,9,540442724,50.5726488,-2.4575167,5.54,2.41,332.90,0.03,0.53,0.92,2.41,332.90,0.10,0.11
2012-10-09,13:01:05.000,1.0,9,540442724,50.5727215,-2.4575698,5.41,2.43,334.58,0.02,0.53,0.92,2.43,334.58,0.13,0.13
2012-10-09,13:01:09.000,1.0,9,540442724,50.5727954,-2.4576183,5.24,2.39,336.97,-0.02,0.54,0.92,2.39,336.97,0.12,0.12
2012-10-09,13:01:10.000,1.0,9,540442724,50.5728159,-2.4576341,5.26,2.65,331.69,0.03,0.54,0.92,2.65,331.69,0.12,0.11
2012-10-09,13:01:11.000,1.0,9,540442724,50.5728372,-2.4576532,5.32,2.73,329.45,0.07,0.54,0.91,2.74,329.45,0.10,0.11
2012-10-09,13:01:14.000,1.0,9,540442724,50.5728925,-2.4576953,5.05,2.65,337.15,-0.06,0.54,0.91,2.66,337.15,0.10,0.11
2012-10-09,13:01:15.000,1.0,9,540442724,50.5729150,-2.4577123,4.92,2.85,332.10,-0.08,0.54,0.90,2.85,332.10,0.12,0.11
2012-10-09,13:01:16.000,1.0,9,540442724,50.5729368,-2.4577344,5.02,2.89,323.03,0.06,0.54,0.90,2.89,323.03,0.12,0.11
2012-10-09,13:01:19.000,1.0,9,540442724,50.5729910,-2.4577823,4.87,2.46,329.02,-0.04,0.54,0.90,2.46,329.02,0.12,0.11
2012-10-09,13:01:26.000,1.0,9,540442724,50.5731053,-2.4578892,4.88,2.38,332.31,0.00,0.55,0.89,2.38,332.31,0.12,0.11
2012-10-09,13:01:27.000,1.0,9,540442724,50.5731252,-2.4579063,4.85,2.63,330.97,0.00,0.55,0.89,2.63,330.97,0.12,0.11
2012-10-09,13:01:29.000,1.0,9,540442724,50.5731653,-2.4579417,4.60,2.82,331.69,-0.12,0.55,0.88,2.82,331.69,0.12,0.11
2012-10-09,13:01:30.000,1.0,9,540442724,50.5731907,-2.4579681,4.53,3.90,323.35,-0.06,0.55,0.89,3.90,323.35,0.13,0.12
2012-10-09,13:01:31.000,1.0,9,540442724,50.5732207,-2.4580061,4.58,4.57,319.44,0.02,0.55,0.89,4.57,319.44,0.13,0.12
2012-10-09,13:01:32.000,1.0,9,540442724,50.5732536,-2.4580541,4.71,5.32,315.49,0.10,0.55,0.89,5.32,315.49,0.13,0.13
2012-10-09,13:01:33.000,1.0,9,540442724,50.5732908,-2.4581085,4.67,5.85,318.57,0.02,0.55,0.89,5.85,318.57,0.13,0.13
2012-10-09,13:01:34.000,1.0,9,540442724,50.5733355,-2.4581635,4.68,6.66,324.89,0.03,0.55,0.90,6.66,324.89,0.13,0.13
2012-10-09,13:01:35.000,1.0,9,540442724,50.5733888,-2.4582164,4.70,7.22,330.24,0.03,0.55,0.90,7.22,330.24,0.13,0.13
2012-10-09,13:01:36.000,1.0,9,540442724,50.5734482,-2.4582671,4.73,7.64,332.54,0.03,0.56,0.90,7.64,332.54,0.13,0.13
