date,time,hdop,sat,svids,lat,lon,ele,sog,cog,roc,ehpe,evpe,sogu,cogu,ehve,evve
2015-10-06,09:35:17.000,0.8,9,104497344,50.5709287,-2.4575855,5.96,2.98,208.02,-0.22,0.83,0.94,2.99,208.02,0.51,0.15
2015-10-06,09:47:09.000,0.8,9,104497344,50.5728419,-2.4581819,4.87,2.58,314.46,0.05,0.61,0.92,2.58,314.46,0.11,0.12
2015-10-06,09:47:18.000,0.8,9,104497344,50.5729512,-2.4584020,5.00,2.40,299.14,0.08,0.61,0.92,2.40,299.14,0.11,0.11
2015-10-06,09:47:22.000,0.8,9,104497344,50.5729764,-2.4585284,5.01,2.45,279.98,0.10,0.61,0.92,2.45,279.98,0.11,0.11
2015-10-06,09:47:26.000,0.8,9,104497344,50.5729891,-2.4586607,4.91,2.37,282.86,0.07,0.61,0.92,2.38,282.86,0.10,0.10
2015-10-06,09:47:33.000,0.8,9,104497344,50.5730341,-2.4588764,4.82,2.37,292.03,0.08,0.61,0.91,2.37,292.03,0.10,0.10
2015-10-06,09:47:34.000,0.8,9,104497344,50.5730416,-2.4589092,4.77,2.51,290.42,0.05,0.60,0.91,2.51,290.42,0.10,0.10
2015-10-06,09:47:35.000,0.8,9,104497344,50.5730489,-2.4589425,4.73,2.43,289.97,0.04,0.60,0.91,2.43,289.97,0.10,0.10
2015-10-06,09:47:48.000,0.8,9,104497344,50.5731341,-2.4592965,3.89,2.48,283.82,0.02,0.62,0.93,2.48,283.82,0.11,0.12
2015-10-06,09:47:49.000,0.8,9,104497344,50.5731384,-2.4593311,3.84,2.41,280.50,0.06,0.61,0.93,2.41,280.50,0.10,0.11
2015-10-06,09:47:50.000,0.8,9,104497344,50.5731429,-2.4593670,3.71,2.66,284.48,0.03,0.61,0.92,2.66,284.48,0.11,0.11
2015-10-06,09:47:51.000,0.8,9,104497344,50.5731489,-2.4594034,3.62,2.58,287.06,0.04,0.61,0.92,2.58,287.06,0.11,0.12
2015-10-06,09:47:55.000,0.8,9,104497344,50.5731666,-2.4595358,3.35,2.61,270.05,0.05,0.61,0.91,2.61,270.05,0.12,0.12
2015-10-06,09:47:56.000,0.8,9,104497344,50.5731664,-2.4595743,3.20,2.76,272.22,-0.03,0.61,0.92,2.76,272.22,0.11,0.12
2015-10-06,09:47:57.000,0.8,9,104497344,50.5731674,-2.4596131,3.29,2.70,272.67,0.09,0.61,0.92,2.70,272.67,0.10,0.11
2015-10-06,09:47:58.000,0.8,9,104497344,50.5731691,-2.4596510,3.23,2.56,277.74,0.07,0.61,0.91,2.56,277.74,0.10,0.10
2015-10-06,09:47:59.000,0.8,9,104497344,50.5731701,-2.4596872,3.20,2.52,269.80,0.05,0.60,0.91,2.52,269.80,0.11,0.11
2015-10-06,09:48:00.000,0.8,9,104497344,50.5731683,-2.4597241,3.11,2.64,264.22,0.01,0.60,0.91,2.64,264.22,0.10,0.11
2015-10-06,09:48:01.000,0.8,9,104497344,50.5731652,-2.4597616,3.07,2.64,262.37,0.03,0.60,0.91,2.64,262.37,0.11,0.11
2015-10-06,09:48:02.000,0.8,9,104497344,50.5731613,-2.4597980,3.02,2.51,260.83,0.02,0.60,0.91,2.51,260.83,0.11,0.12
2015-10-06,09:48:03.000,0.8,9,104497344,50.5731586,-2.4598343,3.01,2.61,267.22,0.05,0.60,0.91,2.61,267.22,0.10,0.11
2015-10-06,09:48:04.000,0.8,9,104497344,50.5731570,-2.4598709,3.04,2.52,266.37,0.08,0.60,0.90,2.52,266.37,0.10,0.10
2015-10-06,09:48:10.000,0.8,9,104497344,50.5731530,-2.4600667,2.89,2.38,268.10,0.08,0.60,0.90,2.38,268.10,0.11,0.12
