date,time,hdop,sat,svids,lat,lon,ele,sog,cog,roc,ehpe,evpe,sogu,cogu,ehve,evve
2011-10-18,13:12:26.000,1.2,8,3571812,50.5879544,-2.4636702,-3.97,2.62,158.77,0.31,1.02,1.23,2.63,158.77,0.23,0.14
2011-10-18,13:12:27.000,1.2,8,3571812,50.5879294,-2.4636620,-3.87,2.86,175.55,0.21,1.01,1.22,2.87,175.55,0.18,0.14
2011-10-18,13:12:28.000,1.2,8,3571812,50.5879013,-2.4636584,-3.55,3.40,175.18,0.27,0.99,1.21,3.41,175.18,0.18,0.14
2011-10-18,13:12:31.000,1.2,8,3571812,50.5878485,-2.4636717,-3.44,2.73,176.15,0.17,0.99,1.20,2.73,176.15,0.20,0.16
2011-10-18,13:12:32.000,1.2,8,3571812,50.5878234,-2.4636678,-3.12,2.94,173.95,0.27,0.96,1.17,2.95,173.95,0.13,0.12
2011-10-18,13:12:36.000,1.2,8,3571812,50.5877489,-2.4636918,-3.25,2.42,196.98,0.04,0.92,1.12,2.42,196.98,0.16,0.13
2011-10-18,13:12:39.000,1.2,8,3571812,50.5876910,-2.4637225,-3.54,2.59,192.41,0.00,0.89,1.09,2.59,192.41,0.16,0.13
2011-10-18,13:12:40.000,1.2,8,3571812,50.5876670,-2.4637306,-3.49,2.84,191.81,0.06,0.88,1.08,2.84,191.81,0.16,0.13
2011-10-18,13:12:41.000,1.2,8,3571812,50.5876402,-2.4637397,-3.46,3.16,192.58,0.07,0.88,1.08,3.16,192.58,0.16,0.13
2011-10-18,13:12:42.000,1.2,8,3571812,50.5876124,-2.4637515,-3.46,3.12,197.66,0.05,0.88,1.08,3.12,197.66,0.16,0.13
2011-10-18,13:12:43.000,1.2,8,3571812,50.5875856,-2.4637643,-3.57,2.80,197.84,0.05,0.87,1.07,2.80,197.84,0.16,0.13
2011-10-18,13:12:44.000,1.2,8,3571812,50.5875642,-2.4637782,-3.56,2.37,206.78,0.01,0.86,1.06,2.37,206.78,0.16,0.13
2011-10-18,13:12:45.000,1.2,8,3571812,50.5875427,-2.4637910,-3.50,2.71,195.42,0.07,0.85,1.05,2.71,195.42,0.16,0.13
2011-10-18,13:12:46.000,1.2,8,3571812,50.5875178,-2.4638013,-3.52,2.77,195.10,0.08,0.84,1.04,2.78,195.10,0.16,0.13
2011-10-18,13:12:47.000,1.2,8,3571812,50.5874946,-2.4638128,-3.58,2.44,200.94,0.06,0.84,1.03,2.44,200.94,0.16,0.13
2011-10-18,13:13:22.000,3.0,4,393312,50.5871197,-2.4638681,-5.17,2.97,205.75,-0.17,4.39,1.47,2.97,205.75,2.17,0.26
2011-10-18,13:22:08.000,1.2,8,3571812,50.5859068,-2.4652563,-1.22,2.67,189.93,0.20,0.73,1.13,2.68,189.93,0.17,0.14
2011-10-18,13:22:09.000,1.2,8,3571812,50.5858820,-2.4652686,-1.31,2.89,204.28,0.11,0.73,1.12,2.89,204.28,0.16,0.14
2011-10-18,13:22:10.000,1.2,8,3571812,50.5858573,-2.4652870,-1.49,2.96,206.77,0.02,0.73,1.11,2.96,206.77,0.16,0.13
2011-10-18,13:22:11.000,1.2,8,3571812,50.5858335,-2.4653052,-1.70,2.71,205.66,-0.05,0.73,1.10,2.71,205.66,0.16,0.13
2011-10-18,13:22:12.000,1.2,8,3571812,50.5858116,-2.4653217,-1.90,2.52,205.60,-0.07,0.73,1.09,2.52,205.60,0.16,0.13
2011-10-18,13:22:13.000,1.2,8,3571812,50.5857894,-2.4653336,-2.03,2.62,192.29,-0.05,0.73,1.09,2.62,192.29,0.16,0.13
2011-10-18,13:22:14.000,1.2,8,3571812,50.5857673,-2.4653398,-1.99,2.41,186.59,0.04,0.74,1.08,2.41,186.59,0.16,0.13
